Project Code,Project Title,IEEE Paper Title,IEEE Paper Link,Technologies Used
AG-AI-101,Multi-Agent Code Generator (Spec → Code → Tests),SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents,https://ieeexplore.ieee.org/document/11029771/,"CrewAI (analyst/coder/tester agents), Ollama (Llama 3.1), Streamlit UI to submit a requirement and view generated code + test results"
AG-AI-102,Agile Dev-Team Chatbot Assistant,ALMAS: an Autonomous LLM-based Multi-Agent Software Engineering Framework,https://ieeexplore.ieee.org/document/11334244/,"CrewAI (PM/Dev/QA roles), Ollama/Groq free API, Streamlit chat + task-board UI"
AG-AI-103,Automated Unit Test Case Generator,AI-Powered Multi-Agent Framework for Automated Unit Test Case Generation Enhancing Software Quality through LLM's,https://ieeexplore.ieee.org/document/10923987/,"LangChain agent, Ollama, pytest, Streamlit code-upload UI showing generated tests + coverage"
AG-AI-104,Chat-Driven Website Testing Agent,Towards Autonomous Testing Agents via Conversational Large Language Models,https://ieeexplore.ieee.org/document/10298360/,"LangChain ReAct agent, Playwright (free browser automation) on a sample local web app, Streamlit console"
AG-AI-105,Course Notes Study Companion (RAG Chatbot),Enhancing Student Engagement Through AI-Powered Educational Chatbots: A Retrieval-Augmented Generation Approach,https://ieeexplore.ieee.org/document/10837678/,"LangChain, ChromaDB over your own course PDFs, Ollama (Gemma2/Mistral), Streamlit chat UI"
AG-AI-106,Exam Preparation RAG Assistant,Exam Preparation Assistance Chatbot Using Retrieval Augmented Generation,https://ieeexplore.ieee.org/document/11026411/,"LangChain, FAISS, PyPDF2 notes ingestion, Ollama, Streamlit UI"
AG-AI-107,Campus Helpdesk RAG Chatbot,Chatbots in Academia: A Retrieval-Augmented Generation Approach for Improved Efficient Information Access,https://ieeexplore.ieee.org/document/10499652/,"LangChain, ChromaDB over college handbook/FAQ PDFs, free Gemini API, Streamlit chat widget"
AG-AI-108,High School Course Guidance RAG Chatbot,An Intelligent Retrieval Augmented Generation Chatbot for Contextually-Aware Conversations to Guide High School Students,https://ieeexplore.ieee.org/document/10762977/,"LangChain, FAISS over a sample course-guide PDF, Ollama, Streamlit UI"
AG-AI-109,Restaurant Ordering RAG Chatbot,Retrieval Augmented Generation (RAG) Based Restaurant Chatbot with AI Testability,https://ieeexplore.ieee.org/document/10730393/,"LangChain, ChromaDB over a sample menu, Streamlit ordering UI, Ollama"
AG-AI-110,Financial Report Q&A RAG Chatbot,Generative AI Chatbot Using Retrieval Augmented Generation for Financial Insights,https://ieeexplore.ieee.org/document/11398968/,"LangChain, ChromaDB over public company annual reports, Streamlit dashboard"
AG-AI-111,"Medical Reference RAG Assistant (Educational, Non-Diagnostic)",Chatbot to chat with medical books using Retrieval-Augmented Generation Model,https://ieeexplore.ieee.org/document/10774900/,"LangChain, FAISS over a public open-access medical textbook (e.g. an open OER PDF), Ollama, Streamlit UI with a clear ""not a diagnosis"" disclaimer"
AG-AI-112,E-Commerce Product Support RAG Agent,Implementation of Retrieval-Augmented Generation (RAG) in Chatbot Systems for Enhanced Real-Time Customer Support in E-Commerce,https://ieeexplore.ieee.org/document/10841586/,"LangChain, ChromaDB over a sample product catalog + FAQ, Streamlit chat UI"
AG-AI-113,Legal Document Q&A RAG Assistant,AI-Driven Legal Automation to Enhance Legal Processes with Natural Language Processing,https://ieeexplore.ieee.org/document/10823316/,"LangChain RAG over public legal texts (e.g. Indian Contract Act PDF), ChromaDB, Streamlit chat UI, ""not legal advice"" disclaimer"
AG-AI-114,Adaptive Tutoring Agent (Assess → Explain → Quiz Loop),Agentic AI in Education: State of the Art and Future Directions,https://ieeexplore.ieee.org/document/11201263/,"LangGraph agent looping through assess/explain/quiz states, Ollama, Streamlit UI, SQLite for progress tracking"
AG-AI-115,Doctor-Assistant Symptom Info Chatbot (Non-Diagnostic),Artificial Intelligence Related Healthcare Doctor Assistant and Consulting for Subscription-Based Applications,https://ieeexplore.ieee.org/document/10346918/,"LangChain rule+LLM hybrid over public symptom-info datasets, Streamlit UI, built-in ""see a doctor"" disclaimer"
AG-AI-116,Hospital Appointment & FAQ Chatbot,Chatbot for Healthcare System Using Artificial Intelligence,https://ieeexplore.ieee.org/document/9197833/,"LangChain, SQLite appointment database (self-seeded sample clinic data), Streamlit chat + booking UI"
AG-AI-117,Patient Follow-Up Reminder Agent,Agentic AI for Healthcare: Solutions to Intelligent Patient Care,https://ieeexplore.ieee.org/document/11049267/,"LangChain agent, SQLite patient/medication schedule (sample data), scheduled reminder logic, Streamlit dashboard"
