Project Code,Project Title,IEEE Paper Title,IEEE Paper Link,Technologies Used
CS-601,Cloud Config File Misconfiguration Scanner,Misconfiguration detection for cloud datacenters using decision tree analysis,https://ieeexplore.ieee.org/document/6356072/,"Python rule engine (deterministic checklist, not the paper's decision tree) parsing Terraform/K8s/YAML configs against known misconfig patterns, Streamlit UI"
CS-602,SaaS Configuration Risk Checklist Tool,A Comprehensive Study on Misconfiguration-SAAS,https://ieeexplore.ieee.org/document/10675597/,"Python rules engine mapping common SaaS misconfig checklist items, pandas scoring, Streamlit UI with risk-score dashboard"
CS-603,Rule-Based Password Strength Meter,Password Strength Checker Using Machine Learning,https://ieeexplore.ieee.org/document/10725352/,"Deterministic entropy + pattern-rule engine (zxcvbn-style: dictionary/keyboard-pattern/repetition checks, no ML), Streamlit live-typing UI"
CS-604,Offline File-Carving Forensics Bench,Digital Forensic Analysis of Files Using Deep Learning,https://ieeexplore.ieee.org/document/9340141,"Signature-based file carving (magic-byte/header matching, foremost/scalpel-style, no ML), Streamlit UI for classifying recovered fragments"
CS-605,System-Log Anomaly Triage Tool,On Machine Learning for Digital Forensics Investigation in Network Traffic,https://ieeexplore.ieee.org/document/11096146/,"Regex/heuristic rule engine over uploaded log bundles (no ML), pandas, Streamlit UI flagging suspicious entries"
CS-606,NLP-Based Phishing/Spam Email Screener,Detecting Email Spam with NLP: A Machine Learning Approach,https://ieeexplore.ieee.org/document/10486769/,"Existing pretrained HuggingFace spam-classification pipeline (inference only, zero fine-tuning), Streamlit UI for pasting/uploading email text"
CS-607,Automated Local Web-App Vulnerability Scanner,Efficient Vulnerability Assessment and Penetration Testing: A Framework for Automation,https://ieeexplore.ieee.org/document/10183397/,"Python orchestration of OWASP ZAP (free) + Nikto against a local Docker DVWA/Juice Shop target, Streamlit report dashboard"
CS-608,Portable VAPT Toolkit Dashboard,Vulnerability Assessment and Penetration Testing: A portable solution Implementation,https://ieeexplore.ieee.org/document/9242640/,"OWASP ZAP/Nmap (free), SQLite for results, Streamlit UI aggregating scan findings against a local target"
CS-609,Lightweight IoT Encryption & Key-Rotation Simulator,Lightweight security protocols for the Internet of Things,https://ieeexplore.ieee.org/document/8292779/,"Pure cryptography: `pycryptodome` (AES/lightweight ciphers), simulated device nodes, Streamlit UI for key generation/rotation demo"
CS-610,Lightweight Cipher Benchmark & Comparison Tool,"Lightweight Cryptography Algorithms for Resource-Constrained IoT Devices: A Review, Comparison and Research Opportunities",https://ieeexplore.ieee.org/document/9328432/,"`pycryptodome`/custom cipher implementations (PRESENT, SPECK, AES), Streamlit UI comparing speed/memory across sample data"
